name,id,Term 1,Term 2,Term 3
Edna Gilroy,685409710,Group E,Group A (Gr. 12),Group A (Gr. 12)
Edna Hendricks,796395329,Group B,Group D,Group B
Edna Matherne,456493319,Group F,Group D,Group C
Edna Mcintosh,466979111,Group D,Group C,Group A (Gr. 12)
Edward Atkinson,927523524,Group A (Gr. 12),Group D,Group A (Gr. 12)
Edward Bonnell,636405737,Group C,Group A (Gr. 12),Group E
Ehtel Chavez,533369918,Group C,Group F,Group A (Gr. 12)
Elaine Black,897475445,Group E,Group A (Gr. 12),Group D
Elaine Macneil,704497287,Group F,Group D,Group E
Elaine Morgan,993693994,Group B,Group B,Group B
Eleanor Venegas,820336201,Group B,Group E,Group B
Elise Sheets,443764917,Group E,Group E,Group D
Elise Shell,510615001,Group C,Group E,Group E
Elizabeth Admire,686429897,Group A (Gr. 12),Group E,Group A (Gr. 12)
Elizabeth Barr,701874243,Group A (Gr. 12),Group D,Group A (Gr. 12)
Elizabeth Clemons,469667192,Group A (Gr. 12),Group A (Gr. 12),Group D
Elizabeth Domke,217789071,Group D,Group A (Gr. 12),Group B
Elizabeth Lineberry,952529030,Group B,Group A (Gr. 12),Group C
Elizabeth Mccrary,191925855,Group B,Group B,Group E
Elizabeth Morgan,977016205,Group A (Gr. 12),Group C,Group B
Elizabeth Muniz,561867239,Group F,Group C,Group D
Elizabeth Pigeon,903088455,Group D,Group B,Group C
Elizabeth Rameriez,611551081,Group A (Gr. 12),Group D,Group D
Elizebeth Forehand,657604336,Group B,Group B,Group D
Ellen Dixon,822593944,Group B,Group E,Group D
Ellen Medeiros,269522508,Group F,Group E,Group E
Ellen Osterstuck,627188263,Group B,Group E,Group E
Elliott Durham,813958702,Group E,Group C,Group F
Eloisa Wolf,543514717,Group C,Group D,Group F
Elsie Keenum,190327161,Group D,Group F,Group B
Elsie Matthias,551148221,Group F,Group A (Gr. 12),Group E
Elva Dalal,286413422,Group B,Group E,Group E
Elvera Morales,511546974,Group A (Gr. 12),Group D,Group B
Ema Prins,735314523,Group F,Group E,Group B
Emily Cusick,934975988,Group E,Group B,Group F
Emma Houge,248785787,Group C,Group C,Group B
Eric Cheung,719451316,Group F,Group E,Group A (Gr. 12)
Eric Frautschi,139084212,Group A (Gr. 12),Group E,Group F
Eric Lacasse,906691550,Group C,Group F,Group E
Eric Martinez,258848683,Group E,Group E,Group A (Gr. 12)
Eric Perez,108892889,Group D,Group B,Group B
Erin Brannon,102661279,Group D,Group C,Group B
Erin Garcia,342983227,Group D,Group B,Group E
Erin Quon,395713763,Group B,Group D,Group F
Erin Sixkiller,776690835,Group D,Group C,Group E
Erin Slaughter,902570722,Group B,Group E,Group F
Erlinda Jones,830345845,Group C,Group C,Group B
Ernie Quinn,431409504,Group C,Group F,Group D
Erwin Lampley,291726636,Group E,Group C,Group B
Esperanza Harkins,324650156,Group C,Group F,Group D
Esta Kelly,158245622,Group B,Group E,Group F
Esther Morris,704183013,Group F,Group D,Group B
Ethan Sundahl,190647095,Group E,Group B,Group A (Gr. 12)
Ethel Cantu,578599491,Group A (Gr. 12),Group C,Group B
Ethel Schlueter,758502370,Group A (Gr. 12),Group C,Group A (Gr. 12)
Eugene Tompson,792907684,Group B,Group E,Group B
Eula Perez,572059922,Group E,Group A (Gr. 12),Group E
Eunice Mcguire,461939248,Group E,Group C,Group D
Eunice Taylor,733937975,Group F,Group D,Group D
Eva Gustafson,126386803,Group D,Group C,Group A (Gr. 12)
Eva Miranda,947672070,Group F,Group C,Group E
Eva Randall,575142540,Group E,Group B,Group B
Evelyn Cox,117349851,Group F,Group C,Group A (Gr. 12)
Evelyn Craig,213475402,Group E,Group B,Group E
Evelyn Henry,865633897,Group F,Group B,Group D
Evelyn Johnson,487994998,Group C,Group B,Group A (Gr. 12)
Evelyn Moore,289900597,Group E,Group E,Group D
Evelyn Price,725073411,Group B,Group D,Group E
Everett Smalls,312565732,Group A (Gr. 12),Group E,Group F
Faith Rose,927100766,Group F,Group A (Gr. 12),Group F
Fannie Clower,165025991,Group C,Group F,Group D
Faye Perrine,625526106,Group C,Group B,Group B
Felica Mccullough,245135213,Group B,Group B,Group B
Felicia Downing,153221032,Group B,Group A (Gr. 12),Group A (Gr. 12)
Felicia Lomeli,999675436,Group C,Group D,Group A (Gr. 12)
Felisha Brown,297980853,Group C,Group F,Group F
Fernando Wight,884634256,Group D,Group C,Group A (Gr. 12)
Florence Zvorsky,963174311,Group D,Group C,Group E
Frances Aybar,768461056,Group D,Group E,Group C
Frances Crowder,333973019,Group B,Group B,Group E
Frances Larson,724434539,Group A (Gr. 12),Group B,Group A (Gr. 12)
Frances Levesque,361318509,Group F,Group E,Group E
Frances Martin,977048108,Group D,Group C,Group C
Frances Rivera,954013749,Group E,Group C,Group E
Frances Woods,578545483,Group C,Group B,Group F
Francis Prioletti,742517443,Group C,Group D,Group A (Gr. 12)
Francisco Elkins,698655229,Group D,Group F,Group A (Gr. 12)
Frank Hanson,740818478,Group B,Group C,Group B
Frank Hotton,332587362,Group A (Gr. 12),Group B,Group D
Frank No,190610408,Group C,Group B,Group F
Frank Philpot,323292561,Group E,Group A (Gr. 12),Group B
Frank Rodriguez,711264197,Group C,Group C,Group E
Frank Stephens,246790543,Group F,Group D,Group A (Gr. 12)
Frank Stringer,195516619,Group F,Group F,Group D
Frank Willard,397485076,Group F,Group E,Group F
Frank Winters,908811762,Group E,Group E,Group B
Frankie Cummings,672792606,Group A (Gr. 12),Group E,Group B
Franklin Goble,240342387,Group F,Group B,Group B
Fred Cradle,938588859,Group F,Group C,Group C
Fred Holsopple,366187397,Group F,Group E,Group E
Frederic Revard,438529858,Group D,Group F,Group B
Frederick Kent,886779998,Group F,Group C,Group A (Gr. 12)
Frederick Salazar,594457479,Group F,Group D,Group E
Frederick Webb,177778745,Group C,Group F,Group C
Frieda Sweat,309888354,Group C,Group D,Group F
Gabriel Prouty,922865126,Group C,Group B,Group A (Gr. 12)
Gabrielle Brashier,916003615,Group A (Gr. 12),Group D,Group E
Gabrielle Burnett,282609809,Group A (Gr. 12),Group B,Group B
Gail Riding,695644374,Group A (Gr. 12),Group A (Gr. 12),Group F
Garland Montoro,960739682,Group B,Group F,Group B
Garrett Mary,661059247,Group F,Group D,Group F
Gary Baker,522142202,Group A (Gr. 12),Group B,Group C
Gary Koch,971582525,Group B,Group C,Group F
Gary Omalley,480975121,Group E,Group B,Group E
Gary Ramos,863503080,Group B,Group D,Group A (Gr. 12)
Gary Shelton,224865396,Group B,Group F,Group C
Gary Smith,662701985,Group C,Group E,Group C
Gary Young,176482282,Group B,Group D,Group F
Geneva Nance,706122320,Group E,Group A (Gr. 12),Group A (Gr. 12)
Genevieve Cameron,374341080,Group F,Group C,Group D
Genna Malone,998787018,Group B,Group F,Group F
George Alonso,695540459,Group F,Group A (Gr. 12),Group E
George Bennett,391234268,Group A (Gr. 12),Group C,Group E
George Carter,133369255,Group A (Gr. 12),Group F,Group E
George Hill,221882685,Group C,Group D,Group C
George Martin,104303467,Group D,Group A (Gr. 12),Group D
George Poe,334709729,Group E,Group D,Group E
George Tate,418961580,Group C,Group E,Group C
George Weber,369123549,Group A (Gr. 12),Group C,Group B
Gerald Harwood,899123567,Group A (Gr. 12),Group B,Group F
Gerald Vega,607703294,Group C,Group A (Gr. 12),Group F
Geraldine Stevens,648960441,Group F,Group B,Group C
Geraldine Wilder,771008251,Group F,Group F,Group F
Geralyn Taylor,309753902,Group B,Group D,Group D
German Martinez,263988479,Group A (Gr. 12),Group F,Group B
Gerry Jared,438366543,Group C,Group B,Group D
Gertrude Hill,745537997,Group D,Group E,Group D
Gertrude Morris,170222765,Group C,Group A (Gr. 12),Group A (Gr. 12)
Gilbert Shultz,728444853,Group E,Group F,Group C
Gladys Gerber,720331426,Group F,Group F,Group E
Gladys Kemp,830290071,Group A (Gr. 12),Group E,Group A (Gr. 12)
Glen Winston,467177699,Group E,Group C,Group D
Glenn Mccammon,944277276,Group F,Group A (Gr. 12),Group F
Glinda Conover,321082405,Group C,Group D,Group E
Gloria Charon,834253792,Group C,Group B,Group F
Gloria Duran,621297753,Group A (Gr. 12),Group E,Group C
Gloria Fannin,477923525,Group C,Group E,Group D
Gloria Mcreynolds,946076594,Group A (Gr. 12),Group B,Group C
Gloria Mozingo,501704716,Group B,Group C,Group F
Gloria Pam,635663290,Group F,Group B,Group E
Gloria Smith,700679518,Group F,Group E,Group B
Gordon Davis,397285581,Group E,Group B,Group E
Gordon Guy,826003395,Group F,Group A (Gr. 12),Group F
Grace Houser,256685829,Group C,Group E,Group D
Grace Mclain,617908006,Group E,Group B,Group B
Grace Moss,602131702,Group F,Group F,Group F
Grace Rains,858576026,Group E,Group B,Group A (Gr. 12)
Grace Walter,206288694,Group B,Group B,Group D
Gracie King,227689519,Group C,Group E,Group A (Gr. 12)
Grant Rowland,749431835,Group E,Group F,Group D
Greg Orms,507144685,Group A (Gr. 12),Group B,Group F
Gregory Campbell,549809238,Group A (Gr. 12),Group E,Group D
Gregory Carrera,241404753,Group E,Group A (Gr. 12),Group E
Gregory Dominguez,999965180,Group E,Group F,Group B
Gregory Neverson,435055128,Group B,Group A (Gr. 12),Group A (Gr. 12)
Gregory Ortiz,233205527,Group F,Group B,Group A (Gr. 12)
Gregory Schneider,502220248,Group F,Group D,Group B
Gregory Scott,425369116,Group C,Group B,Group E
Gregory Stevenson,206370167,Group D,Group F,Group C
Gregory Voorhees,579018463,Group E,Group B,Group C
Gregory Whitney,307479066,Group A (Gr. 12),Group A (Gr. 12),Group F
Gregory Witherite,459920845,Group D,Group D,Group B
Gregory Wittenberg,287890030,Group A (Gr. 12),Group F,Group A (Gr. 12)
Guadalupe Amerson,143771943,Group C,Group C,Group E
Guadalupe Murguia,797003655,Group B,Group D,Group A (Gr. 12)
Guillermo Adams,427897722,Group E,Group D,Group C
Gussie Hallman,395933605,Group A (Gr. 12),Group D,Group B
Guy Fournier,971478332,Group C,Group D,Group A (Gr. 12)
Guy Kennedy,295386500,Group C,Group A (Gr. 12),Group E
Guy Mierzejewski,353282376,Group B,Group D,Group C
Gwen Lindley,592048229,Group E,Group D,Group C
Hank Trujillo,137594365,Group D,Group A (Gr. 12),Group D
Harold Crouch,882578565,Group C,Group B,Group C
Harold Holmes,632726687,Group A (Gr. 12),Group C,Group B
Harry Blatt,473091788,Group A (Gr. 12),Group B,Group D
Harvey Powell,932087530,Group A (Gr. 12),Group D,Group C
Hattie Anderson,817678386,Group D,Group E,Group A (Gr. 12)
Haywood Zuniga,834008491,Group C,Group C,Group F
Hazel Collins,713706467,Group F,Group F,Group E
Hazel Cremeans,442500749,Group B,Group F,Group E
Hazel Jennings,102592818,Group C,Group D,Group C
Heath Ahern,753938556,Group E,Group B,Group E
Heath Marra,572448507,Group E,Group E,Group B
Heath Young,833856510,Group F,Group B,Group B
Heather Buttaro,153872129,Group D,Group B,Group A (Gr. 12)
Heather Herrera,993007079,Group A (Gr. 12),Group C,Group D
Heather Lynn,692950745,Group F,Group E,Group E
Heather Nikolai,605717429,Group C,Group F,Group F
Heather Tavares,126565649,Group D,Group C,Group B
Hector Hubbard,520717389,Group A (Gr. 12),Group A (Gr. 12),Group C
Hector Muffley,211024330,Group B,Group F,Group C
Hector Ramsey,622438027,Group D,Group D,Group C
Helen Fujii,932900662,Group D,Group C,Group B
Helen Garrison,368173023,Group B,Group D,Group A (Gr. 12)
Helen Gonzalez,126801693,Group F,Group B,Group B
Helen Henry,991109176,Group D,Group F,Group A (Gr. 12)
Helen Merriweather,127656582,Group B,Group B,Group F
Helen Sandoval,873686434,Group E,Group B,Group F
Helen Schmitt,376408581,Group E,Group B,Group E
Helene Schappert,229863925,Group A (Gr. 12),Group F,Group D
Henry Jenkins,921417813,Group B,Group F,Group F
Henry Lawson,574076572,Group C,Group E,Group C
Henry Mays,480620031,Group D,Group D,Group F
Henry Reid,795932364,Group D,Group F,Group F
Herbert Akins,977672582,Group B,Group E,Group A (Gr. 12)
Herbert Hoag,318788891,Group C,Group D,Group B
Herbert Miller,316730496,Group D,Group C,Group E
Herbert Newsome,585867178,Group E,Group D,Group D
Herbert Taber,573784875,Group F,Group C,Group B
Herman Meyer,934594822,Group B,Group D,Group D
Hermina Hamilton,524305079,Group F,Group F,Group C
Hilary Rittinger,162185542,Group D,Group E,Group C
Hilda Leaks,730626530,Group A (Gr. 12),Group D,Group A (Gr. 12)
Hilda Poole,116978513,Group F,Group D,Group C
Holly Glass,338155279,Group A (Gr. 12),Group D,Group F
Holly Paparo,147234674,Group D,Group A (Gr. 12),Group F
Holly Spracklen,227188719,Group B,Group C,Group E
Hope Conrad,128386122,Group B,Group D,Group E
Hope Henson,616343809,Group C,Group B,Group C
Hope Oconnor,202623473,Group E,Group C,Group F
Howard Cole,738102019,Group C,Group C,Group D
Howard Donald,428921262,Group B,Group F,Group B
Howard Nobles,752868514,Group E,Group F,Group A (Gr. 12)
Hugh Allison,663260918,Group E,Group E,Group A (Gr. 12)
Hugh Morrison,112936366,Group C,Group A (Gr. 12),Group F
Hui Mcguiness,354983600,Group F,Group C,Group D
Ian Cooley,402308857,Group B,Group B,Group D
Ida Kirkland,653861277,Group D,Group A (Gr. 12),Group C
Ida Phipps,155403675,Group A (Gr. 12),Group F,Group C
In Perry,833813051,Group C,Group A (Gr. 12),Group E
Ina Noel,567904516,Group C,Group A (Gr. 12),Group A (Gr. 12)
Ira Crider,197278648,Group D,Group D,Group D
Irene Longacre,398164051,Group B,Group C,Group D
Irene Morales,298868807,Group D,Group E,Group E
Iris Scowden,200528196,Group A (Gr. 12),Group C,Group C
Irma Bey,788609741,Group B,Group D,Group B
Irma Butler,298534384,Group D,Group F,Group A (Gr. 12)
Irma Hawkins,276036755,Group E,Group C,Group E
Irving Flores,579074652,Group C,Group E,Group A (Gr. 12)
Irving Sharp,627679539,Group D,Group C,Group D
Isaac Fleming,535133573,Group A (Gr. 12),Group A (Gr. 12),Group C
Isaac Kirk,996453176,Group D,Group E,Group F
Jacinto Ingram,713156690,Group F,Group B,Group C
Jack Claar,122663362,Group B,Group A (Gr. 12),Group E
Jack Reed,285091961,Group D,Group A (Gr. 12),Group F
Jack Scheetz,105293235,Group F,Group F,Group A (Gr. 12)
Jack Thomas,806038696,Group A (Gr. 12),Group C,Group D
Jacqueline Brent,676045802,Group E,Group C,Group A (Gr. 12)
Jacqueline Hardin,778902586,Group A (Gr. 12),Group E,Group D
Jacqueline Hearnsberger,797482771,Group A (Gr. 12),Group E,Group A (Gr. 12)
Jacqueline Hixon,183265607,Group C,Group C,Group E
Jacqueline Johnson,983428755,Group F,Group A (Gr. 12),Group F
Jacqueline Lewis,551254505,Group F,Group A (Gr. 12),Group E
Jacqueline Moore,929642694,Group B,Group E,Group F
Jacqueline Sessoms,866323481,Group C,Group C,Group B
Jacquelynn Walton,119820474,Group A (Gr. 12),Group B,Group E
James Adler,135050603,Group B,Group F,Group E
James Campbell,287427133,Group B,Group C,Group F
James Cassel,334614252,Group D,Group C,Group A (Gr. 12)
James Colon,643909462,Group A (Gr. 12),Group A (Gr. 12),Group B
James Corda,341222441,Group F,Group E,Group E
James Correia,971927514,Group C,Group A (Gr. 12),Group B
James Crosby,624472883,Group F,Group A (Gr. 12),Group C
James Douglas,672556881,Group B,Group C,Group B
James Flythe,617111433,Group D,Group C,Group D
James Ford,929137118,Group D,Group B,Group F
James Fowler,757775444,Group F,Group A (Gr. 12),Group F
James Fraiser,529756944,Group F,Group A (Gr. 12),Group C
James Fullmer,640928133,Group E,Group F,Group E
James Gerhart,466381755,Group A (Gr. 12),Group A (Gr. 12),Group B
James Hampshire,943726636,Group F,Group C,Group C
James Heath,868583681,Group D,Group D,Group C
James Hicks,529385558,Group A (Gr. 12),Group F,Group B
James Hill,539005396,Group D,Group C,Group E
James Holloway,453364394,Group A (Gr. 12),Group B,Group B
James Ibrahim,393613479,Group B,Group E,Group A (Gr. 12)
James Johnson,788459153,Group B,Group F,Group F
James Jones,343403945,Group F,Group B,Group E
James Joy,311275099,Group C,Group B,Group E
James Kunkel,504396347,Group F,Group A (Gr. 12),Group F
James Longsdorf,874504780,Group E,Group D,Group F
James Lopez,721390953,Group F,Group E,Group F
James Lopez,276886933,Group C,Group E,Group F
James Manning,113879628,Group C,Group B,Group C
James Marra,708234172,Group D,Group E,Group C
James Mayer,987240921,Group A (Gr. 12),Group F,Group B
James Mckeever,640622103,Group A (Gr. 12),Group D,Group D
James Meehan,339335413,Group F,Group E,Group B
James Montemurro,283612395,Group A (Gr. 12),Group C,Group B
James Mooney,299447103,Group A (Gr. 12),Group F,Group F
James Morgan,380686040,Group F,Group F,Group D
James Myers,353998209,Group D,Group A (Gr. 12),Group C
James Oberg,616178579,Group E,Group E,Group F
James Page,211574083,Group C,Group D,Group C
James Petersik,293623802,Group A (Gr. 12),Group A (Gr. 12),Group F
James Pittman,915304162,Group C,Group A (Gr. 12),Group E
James Rezak,610460208,Group F,Group C,Group D
James Rittenhouse,414808873,Group C,Group E,Group A (Gr. 12)
James Russell,315156712,Group E,Group F,Group A (Gr. 12)
James Spriggs,929777691,Group C,Group E,Group D
James Thomas,165957341,Group A (Gr. 12),Group D,Group A (Gr. 12)
James Vu,506620226,Group E,Group A (Gr. 12),Group F
James Waldron,557670636,Group E,Group C,Group F
James Walters,491175363,Group D,Group F,Group A (Gr. 12)
James Williams,393750542,Group D,Group E,Group C
Jamie Carlson,200799837,Group D,Group D,Group F
Jamie Greene,227368258,Group B,Group C,Group B
Jamie Pelkey,160157241,Group E,Group F,Group B
Jamie Rankins,707645771,Group B,Group B,Group D
Jamie Stanley,397662335,Group A (Gr. 12),Group B,Group E
Jane Dabbs,662507915,Group C,Group B,Group E
Jane Johnson,466465035,Group B,Group D,Group D
Jane Mills,823530995,Group B,Group F,Group C
Jane Rahm,769563785,Group A (Gr. 12),Group D,Group E
Jane Rodriguez,214673569,Group E,Group D,Group F
Janet Blackwell,345244596,Group F,Group E,Group D
Janet Cook,376707024,Group C,Group F,Group B
Janet Denny,343558066,Group A (Gr. 12),Group D,Group B
Janet Miller,101166410,Group E,Group A (Gr. 12),Group F
Janet Smith,822836372,Group C,Group B,Group F
Janice Giordano,582583851,Group C,Group E,Group A (Gr. 12)
Janice Lane,899715683,Group D,Group B,Group A (Gr. 12)
Janice Licon,739361998,Group E,Group C,Group E
Janice Litzenberg,288455532,Group C,Group B,Group F
Janice Magoun,418401795,Group F,Group F,Group E
Janine Imhoff,515725025,Group D,Group D,Group B
Janis Johnson,394363117,Group F,Group F,Group E
Jared Sykes,159702334,Group D,Group F,Group A (Gr. 12)
Jared Willis,856729204,Group C,Group A (Gr. 12),Group A (Gr. 12)
Jarvis Tannehill,915205267,Group A (Gr. 12),Group E,Group B
Jasmin Rice,386659750,Group B,Group B,Group C
Jason Johns,367732318,Group D,Group F,Group A (Gr. 12)
Jason Martineau,613789870,Group B,Group C,Group B
Jason Oliva,788391952,Group C,Group E,Group C
Jean Ash,371854369,Group A (Gr. 12),Group C,Group B
Jean Marsh,402741911,Group D,Group C,Group C
Jean Schrock,505162471,Group F,Group B,Group E
Jean Silva,131911945,Group E,Group C,Group E
Jeanne Roemmich,649347475,Group A (Gr. 12),Group C,Group B
Jeannine Combass,723710242,Group C,Group D,Group B
Jed Deming,979608532,Group C,Group A (Gr. 12),Group A (Gr. 12)
Jefferson Guynn,583939244,Group B,Group D,Group D
Jeffery Carollo,875172043,Group F,Group A (Gr. 12),Group C
Jeffery Cooper,365765069,Group A (Gr. 12),Group C,Group C
Jeffery Zelkin,808740862,Group D,Group B,Group A (Gr. 12)
Jeffrey Benson,279452919,Group F,Group A (Gr. 12),Group C
Jeffrey Futch,403626375,Group B,Group B,Group E
Jeffrey Giron,459186427,Group F,Group D,Group B
Jeffrey Johnson,130572283,Group B,Group D,Group A (Gr. 12)
Jeffrey Lockett,400817099,Group E,Group F,Group F
Jeffrey Romanelli,575053948,Group C,Group E,Group F
Jeffrey Rotella,517220838,Group F,Group D,Group C
Jeffrey Skidgel,346123692,Group E,Group F,Group C
Jenice Williams,814712003,Group E,Group E,Group E
Jennie Keever,184700150,Group A (Gr. 12),Group B,Group D
Jennie Powell,369747785,Group E,Group E,Group C
Jennifer Branch,241244249,Group E,Group E,Group C
Jennifer Casarez,267054840,Group A (Gr. 12),Group E,Group B
Jennifer Clarkson,604849421,Group D,Group E,Group A (Gr. 12)
Jennifer Cochran,999143807,Group D,Group C,Group E
Jennifer Dixon,610150974,Group C,Group F,Group D
Jennifer Gardner,754800839,Group C,Group F,Group B
Jennifer Knight,614914045,Group B,Group F,Group E
Jennifer Potter,762965603,Group B,Group C,Group F
Jennifer Reynolds,711258824,Group A (Gr. 12),Group D,Group A (Gr. 12)
Jennifer Russo,547269864,Group C,Group A (Gr. 12),Group D
Jennifer Shackelford,758905594,Group A (Gr. 12),Group B,Group A (Gr. 12)
Jenny Napier,515715570,Group A (Gr. 12),Group E,Group A (Gr. 12)
Jerald Green,413537555,Group E,Group B,Group D
Jeremy Ardrey,164959798,Group F,Group B,Group A (Gr. 12)
Jeremy Harvey,760190278,Group D,Group D,Group A (Gr. 12)
Jeremy Navarro,785996122,Group F,Group B,Group A (Gr. 12)
Jeremy Zbell,990724657,Group B,Group B,Group F
Jeri Knecht,496575525,Group A (Gr. 12),Group F,Group B
Jerome Fuller,938204041,Group F,Group A (Gr. 12),Group A (Gr. 12)
Jerome Hedgepeth,777460936,Group B,Group F,Group E
Jerome Herz,253968068,Group E,Group F,Group F
Jerome Stjohn,770360048,Group D,Group E,Group C
Jerry Berry,883571502,Group A (Gr. 12),Group A (Gr. 12),Group C
Jerry Munez,442497895,Group C,Group A (Gr. 12),Group F
Jerry Perdue,567510029,Group A (Gr. 12),Group C,Group D
Jerry Richards,189287629,Group A (Gr. 12),Group F,Group B
Jesse Gofton,838753533,Group F,Group A (Gr. 12),Group B
Jesse Simmons,494078246,Group F,Group C,Group C
Jessenia Gallo,627371868,Group F,Group D,Group B
Jessica Denning,403203900,Group C,Group B,Group B
Jessica Drew,894816905,Group B,Group D,Group E
Jessica Dunbar,752476336,Group A (Gr. 12),Group C,Group D
Jesus Odom,999021332,Group F,Group C,Group A (Gr. 12)
Jesus Sanchez,847621179,Group E,Group D,Group C
Jewell Weaver,103713359,Group F,Group E,Group C
Jill Thomas,249679365,Group B,Group B,Group D
Jillian Machuca,442695263,Group E,Group F,Group D
Jim Fegueroa,806472510,Group E,Group B,Group A (Gr. 12)
Jimmy Figueroa,624217983,Group C,Group C,Group C
Jimmy Henderson,692601352,Group C,Group B,Group E
Jimmy Mitchell,419258994,Group E,Group D,Group C
Jimmy White,919350197,Group B,Group A (Gr. 12),Group F
Joan Condon,695486134,Group A (Gr. 12),Group E,Group D
Joan Cross,329477777,Group D,Group C,Group D
Joan Davis,585863940,Group D,Group E,Group D
Joan Grand,719478423,Group A (Gr. 12),Group A (Gr. 12),Group D
Joan Sharp,450081472,Group C,Group A (Gr. 12),Group C
Joan Toles,879166328,Group E,Group A (Gr. 12),Group B
Joann Ferguson,888523495,Group D,Group B,Group C
Joann Jones,446914463,Group B,Group A (Gr. 12),Group D
Joanna Harrison,879509942,Group C,Group A (Gr. 12),Group C
Joanne Artis,449853043,Group D,Group E,Group B
Joanne Biancuzzo,316690072,Group E,Group B,Group C
Joanne Mayer,722993924,Group B,Group F,Group E
Jody Ashley,550511297,Group D,Group C,Group B
Joey Baum,499125340,Group C,Group E,Group F
Johanna Mckee,551838249,Group D,Group B,Group A (Gr. 12)
Johanna Mejia,226882237,Group E,Group A (Gr. 12),Group F
John Allen,105534723,Group F,Group F,Group C
John Behr,444782897,Group D,Group B,Group D
John Blanton,750971419,Group C,Group F,Group E
John Branum,128688835,Group E,Group F,Group C
John Brown,562356155,Group D,Group A (Gr. 12),Group F
John Colon,922000529,Group A (Gr. 12),Group B,Group A (Gr. 12)
John Devito,274724026,Group B,Group F,Group D
John Engles,168884634,Group D,Group D,Group B
John Fox,780202852,Group F,Group C,Group C
John Franco,471136573,Group F,Group D,Group C
John Gade,472404596,Group C,Group F,Group B
John Gordon,189252447,Group E,Group F,Group A (Gr. 12)
John Guetierrez,947188105,Group A (Gr. 12),Group E,Group F
John Haverland,458494139,Group D,Group C,Group E
John Herron,706568510,Group D,Group A (Gr. 12),Group F
John Jones,431639745,Group C,Group F,Group C
John Liss,143681101,Group F,Group E,Group E
John Lowe,981370058,Group D,Group C,Group C
John Madden,619845349,Group E,Group C,Group A (Gr. 12)
John Mclucas,705690042,Group E,Group C,Group F
John Metzler,638979178,Group A (Gr. 12),Group A (Gr. 12),Group B
John Meza,556481328,Group B,Group A (Gr. 12),Group D
John Ovit,955465486,Group A (Gr. 12),Group B,Group F
John Parker,693029188,Group A (Gr. 12),Group F,Group B
John Risner,321482985,Group E,Group E,Group E
John Ryan,125923054,Group F,Group A (Gr. 12),Group A (Gr. 12)
John Serrano,724763344,Group A (Gr. 12),Group B,Group D
John Sherman,305491981,Group F,Group E,Group E
John Sherman,905537118,Group B,Group A (Gr. 12),Group D
John Smith,964914632,Group F,Group F,Group F
John Smith,942956583,Group C,Group E,Group E
John Spaulding,668238695,Group C,Group B,Group B
John Villasenor,351166995,Group B,Group A (Gr. 12),Group C
John Weldon,358655214,Group E,Group D,Group C
Johnathan Johnson,324081447,Group C,Group B,Group F
Johnathan Leonard,790393150,Group B,Group F,Group D
Johnny Ebeid,509519370,Group D,Group C,Group F
Johnny Smith,384886932,Group C,Group A (Gr. 12),Group D
Joline Mckenna,292918385,Group E,Group F,Group B
Jon Bonilla,730373519,Group D,Group F,Group A (Gr. 12)
Jon Dennis,474710518,Group F,Group A (Gr. 12),Group E
Jon Horton,189012111,Group C,Group C,Group D
Jonas England,860681617,Group A (Gr. 12),Group A (Gr. 12),Group C
Jonathan Blount,823336952,Group D,Group D,Group B
Jonathan Roberts,259972598,Group C,Group A (Gr. 12),Group F
Jonathan Ward,446421841,Group B,Group E,Group C
Jose Gregory,134679502,Group E,Group A (Gr. 12),Group F
Joseph Alvarez,582812203,Group C,Group F,Group D
Joseph Ashworth,666596583,Group D,Group A (Gr. 12),Group C
Joseph Baker,169293110,Group C,Group C,Group A (Gr. 12)
Joseph Banks,408758745,Group B,Group C,Group C
Joseph Eglinton,724166154,Group E,Group B,Group F
Joseph Gregorio,563101115,Group A (Gr. 12),Group A (Gr. 12),Group A (Gr. 12)
Joseph Gross,404070913,Group A (Gr. 12),Group F,Group B
Joseph Pitpitan,901900643,Group C,Group B,Group B
Joseph Reyes,258361930,Group C,Group D,Group D
Joseph Schmidt,330963324,Group B,Group B,Group B
Joseph Starrs,770897661,Group D,Group E,Group C
Joseph Stevens,323652934,Group F,Group D,Group A (Gr. 12)
Joseph Switzer,430022367,Group E,Group D,Group F
Joseph Ybarra,956187189,Group D,Group E,Group E
Josephine Burgess,776136316,Group A (Gr. 12),Group E,Group C
Josephine Stockton,158307841,Group D,Group A (Gr. 12),Group A (Gr. 12)
Joshua Blais,399650329,Group B,Group C,Group B
Joshua Carrillo,302411528,Group A (Gr. 12),Group F,Group C
Joshua Melnick,992384004,Group C,Group E,Group A (Gr. 12)
Joshua Nalevanko,680746846,Group B,Group C,Group B
Joshua Weiss,703766322,Group E,Group C,Group F
Joyce Anderson,908647903,Group F,Group F,Group C
Joyce Bianchi,320755314,Group C,Group A (Gr. 12),Group A (Gr. 12)
Joyce Bridges,235323939,Group D,Group A (Gr. 12),Group D
Joyce Dudley,198087372,Group C,Group F,Group C
Joyce Grant,407793114,Group B,Group A (Gr. 12),Group D
Joyce Lacroix,722497833,Group A (Gr. 12),Group B,Group E
Joyce Mcmorris,623437487,Group E,Group C,Group A (Gr. 12)
Joyce Morton,299774216,Group A (Gr. 12),Group C,Group C
